time,ax,ay,az,atotal
0.009102106094360352,0.52,2.57,-1.8,3.18
0.01911306381225586,0.81,2.23,-3.11,3.91
0.029081106185913086,1.54,1.74,-3.66,4.33
0.046051025390625,1.94,1.2,-3.93,4.54
0.05319499969482422,1.73,-0.62,-4.4,4.76
0.06336402893066406,1.35,-1.17,-4.25,4.61
0.0733642578125,0.81,-1.42,-4.14,4.45
0.08422517776489258,0.28,-1.39,-4.22,4.45
0.09361600875854492,-0.23,-1.19,-4.74,4.89
0.11435222625732422,-0.67,-1.16,-5.62,5.77
0.11517000198364258,-0.81,-1.06,-6.39,6.52
0.12387418746948242,-0.65,-0.85,-6.75,6.83
0.13403916358947754,-0.6,-0.7,-6.41,6.47
0.14380598068237305,-0.44,-0.72,-5.37,5.43
0.1644141674041748,-0.65,-1.11,-4.05,4.24
0.16513299942016602,-0.85,-1.8,-2.82,3.45
0.17393016815185547,-1.0,-2.43,-1.71,3.13
0.18409299850463867,-1.66,-2.81,-0.62,3.32
0.19408321380615234,-3.65,-2.34,0.64,4.38
0.21296215057373047,-5.84,-1.12,1.56,6.14
0.21408605575561523,-5.11,0.35,1.99,5.49
0.22429800033569336,-2.06,1.59,2.29,3.46
0.23409605026245117,1.15,2.37,3.19,4.13
0.24450206756591797,3.41,2.77,5.22,6.82
0.2624082565307617,3.05,1.77,7.67,8.44
0.2643470764160156,-0.01,0.13,9.68,9.68
0.2746450901031494,-2.14,-0.67,10.3,10.54
0.28454017639160156,-2.22,-0.57,9.41,9.68
0.29476308822631836,-1.21,-0.04,7.93,8.02
0.3127601146697998,-0.36,0.39,6.92,6.94
0.3145732879638672,-0.54,0.47,6.4,6.43
0.32486724853515625,-1.33,0.49,5.74,5.91
0.33472108840942383,-2.01,0.82,4.4,4.9
0.3450932502746582,-1.97,1.04,2.48,3.33
0.36240100860595703,-1.49,0.97,0.54,1.85
0.36502599716186523,-0.9,0.7,-0.83,1.41
0.37543201446533203,-0.25,0.37,-1.45,1.51
0.3852419853210449,0.59,-0.04,-1.57,1.67
0.39534711837768555,1.25,-0.53,-1.55,2.06
0.41196298599243164,1.62,-1.05,-1.72,2.58
0.4154210090637207,1.76,-1.39,-1.8,2.87
0.42566919326782227,1.5,-1.57,-1.99,2.94
0.4354240894317627,1.32,-1.66,-2.87,3.56
0.44565629959106445,1.09,-1.61,-4.35,4.76
0.462022066116333,0.91,-1.45,-5.9,6.14
0.46569013595581055,0.94,-0.99,-7.09,7.22
0.4758882522583008,1.07,-0.43,-7.78,7.86
0.4859180450439453,1.03,-0.06,-7.75,7.81
0.4959831237792969,0.74,-0.1,-6.95,6.99
0.5119941234588623,0.48,-0.68,-5.64,5.7
0.5160291194915771,0.66,-1.33,-4.17,4.42
0.5263042449951172,1.22,-2.28,-2.95,3.92
0.5360550880432129,1.98,-3.41,-1.94,4.39
0.5463721752166748,2.5,-4.13,-0.84,4.9
0.5623581409454346,1.67,-3.98,0.29,4.32
0.5665111541748047,0.64,-3.05,0.65,3.18
0.5765032768249512,1.37,-1.92,-0.13,2.36
0.5866250991821289,2.61,-0.99,-1.35,3.1
0.5967240333557129,3.12,-0.73,-2.02,3.78
0.6123032569885254,2.23,-0.67,-0.92,2.5
0.6172280311584473,0.38,-0.79,1.56,1.78
0.6269659996032715,-0.78,-1.12,4.24,4.45
0.6369562149047852,-1.45,-0.75,6.36,6.56
0.6470589637756348,-1.35,-0.22,7.34,7.46
0.6628081798553467,-1.14,0.35,7.16,7.25
0.6672439575195312,-1.07,1.17,6.03,6.23
