time,ax,ay,az,atotal
0.006152153015136719,-0.11,-1.0,-6.44,6.51
0.01649618148803711,-0.38,-1.55,-7.56,7.72
0.02616596221923828,-1.34,-1.9,-7.7,8.04
0.03624415397644043,-2.71,-2.24,-7.23,8.03
0.04649209976196289,-3.5,-2.42,-6.8,8.02
0.05644702911376953,-3.32,-2.47,-6.58,7.77
0.06639528274536133,-2.73,-2.65,-6.01,7.11
0.07653117179870605,-2.4,-2.75,-4.55,5.83
0.08665013313293457,-2.59,-2.42,-2.32,4.23
0.09659910202026367,-3.68,-1.39,0.1,3.93
0.10684514045715332,-4.72,0.07,1.88,5.08
0.11738014221191406,-4.15,1.14,2.61,5.03
0.1269822120666504,-1.94,2.13,2.8,4.01
0.141754150390625,0.7,3.28,3.54,4.87
0.14707016944885254,2.25,3.73,5.54,7.04
0.15699529647827148,1.5,3.17,7.65,8.41
0.16719317436218262,-0.83,2.18,8.46,8.77
0.17718219757080078,-2.3,1.43,7.83,8.28
0.19139623641967773,-2.46,1.2,6.71,7.24
0.19736623764038086,-1.65,1.11,5.6,5.94
0.20740914344787598,-0.92,0.91,4.73,4.9
0.2176971435546875,-1.28,0.81,4.72,4.95
0.2274951934814453,-1.89,0.47,5.07,5.43
0.2411201000213623,-2.03,0.2,4.57,5.0
0.24784016609191895,-1.86,0.07,2.98,3.51
0.2579030990600586,-1.23,0.0,0.84,1.48
0.26768922805786133,-0.36,-0.16,-0.88,0.96
0.27782201766967773,0.51,-0.27,-1.87,1.95
0.29168224334716797,1.24,-0.53,-2.37,2.72
0.29801511764526367,1.68,-0.99,-2.82,3.42
0.3080611228942871,1.75,-1.29,-3.27,3.92
0.3182971477508545,1.62,-1.67,-3.54,4.23
0.3281421661376953,1.21,-2.01,-3.65,4.33
0.34113025665283203,0.73,-2.12,-4.01,4.59
0.3482542037963867,0.47,-2.09,-4.76,5.21
0.35871124267578125,0.2,-1.75,-5.51,5.78
0.3685312271118164,0.26,-1.24,-6.2,6.32
0.3784170150756836,0.62,-0.92,-6.87,6.95
0.39164113998413086,0.94,-0.68,-7.16,7.25
0.398665189743042,1.55,-0.85,-6.87,7.09
