time,ax,ay,az,atotal
0.002296924591064453,0.17,-0.04,0.1,0.2
0.012575149536132812,0.29,-0.06,-0.06,0.3
0.022617816925048828,0.32,-0.07,-0.15,0.36
0.03252887725830078,0.27,0.04,-0.44,0.51
0.04510688781738281,0.25,0.06,-0.49,0.55
0.052449941635131836,0.2,0.03,-0.3,0.36
0.06268692016601562,0.12,0.0,-0.13,0.17
0.07279682159423828,0.04,0.01,-0.02,0.04
0.08304882049560547,0.0,0.02,0.08,0.08
0.09594106674194336,0.0,0.05,0.05,0.07
0.10300111770629883,-0.07,0.03,-0.09,0.11
0.1129460334777832,-0.11,0.02,-0.16,0.19
0.12308311462402344,-0.05,0.05,-0.18,0.19
0.13313698768615723,0.0,0.09,-0.16,0.18
0.1466529369354248,0.05,0.16,-0.12,0.2
0.1531691551208496,0.05,0.16,-0.13,0.21
0.163316011428833,0.03,0.13,-0.16,0.2
0.1732921600341797,0.08,0.06,-0.32,0.33
0.18393611907958984,-0.16,0.15,-0.29,0.36
0.19355297088623047,-0.06,0.36,0.27,0.45
0.21239304542541504,-0.06,0.22,0.35,0.41
0.21353387832641602,-0.12,0.12,0.17,0.24
0.22381305694580078,-0.12,0.05,-0.06,0.14
0.23381900787353516,-0.12,0.02,-0.04,0.12
0.24402999877929688,-0.08,0.04,0.11,0.14
0.2631978988647461,-0.1,0.03,0.18,0.2
0.26412487030029297,-0.13,0.0,0.2,0.23
0.27411985397338867,-0.13,0.02,0.17,0.21
0.2840900421142578,-0.09,0.05,0.1,0.14
0.29442596435546875,-0.1,0.09,0.0,0.13
0.31333303451538086,-0.07,0.12,-0.14,0.19
0.314241886138916,-0.07,0.13,-0.22,0.26
0.324552059173584,-0.11,0.11,-0.2,0.25
0.33438897132873535,-0.07,0.03,-0.17,0.18
0.34470105171203613,-0.11,0.02,-0.04,0.11
0.3630080223083496,-0.16,0.01,0.15,0.21
0.3646121025085449,-0.17,0.03,0.19,0.25
0.3748021125793457,-0.21,0.06,0.19,0.28
0.38474416732788086,-0.2,0.07,0.2,0.29
0.395035982131958,-0.16,0.05,0.16,0.23
0.4134831428527832,-0.13,0.03,0.2,0.24
0.4149918556213379,-0.05,0.01,0.3,0.3
0.4252028465270996,-0.01,0.0,0.39,0.39
0.43517589569091797,-0.06,0.05,0.35,0.35
0.4454009532928467,-0.12,0.08,0.22,0.26
0.4628109931945801,-0.12,0.14,0.14,0.23
0.4653019905090332,-0.13,0.13,0.08,0.2
0.47537994384765625,-0.09,0.13,0.02,0.15
0.48532700538635254,-0.06,0.13,-0.01,0.14
0.49556493759155273,0.0,0.12,-0.04,0.12
0.5128769874572754,0.02,0.1,-0.1,0.14
0.5154550075531006,-0.04,0.07,-0.13,0.15
0.5257811546325684,0.01,0.06,-0.08,0.1
0.5356919765472412,0.06,0.07,0.05,0.1
0.545936107635498,0.08,0.07,0.1,0.14
0.562255859375,0.03,0.06,0.11,0.12
0.5659639835357666,0.01,0.06,0.09,0.1
0.5761198997497559,-0.01,0.1,-0.04,0.1
0.5861649513244629,-0.02,0.09,-0.18,0.2
0.5962159633636475,0.0,0.09,-0.23,0.24
0.6119399070739746,-0.03,0.08,-0.17,0.19
0.6163520812988281,-0.01,0.05,-0.13,0.13
0.6264019012451172,0.02,0.06,-0.05,0.08
0.6364178657531738,0.01,0.08,0.03,0.08
0.6467349529266357,0.02,0.12,0.04,0.12
0.6623668670654297,0.03,0.14,-0.09,0.16
0.6674339771270752,0.0,0.11,-0.2,0.22
0.6767020225524902,0.0,0.05,-0.11,0.12
0.6869359016418457,0.06,0.05,0.21,0.22
0.6968140602111816,0.05,0.04,0.4,0.4
0.7133049964904785,0.08,0.02,0.36,0.36
0.7172660827636719,0.1,0.03,0.17,0.19
0.7271990776062012,0.01,0.07,0.01,0.07
0.7370738983154297,0.0,0.08,0.04,0.08
0.7473258972167969,0.02,0.12,0.15,0.19
0.7629580497741699,-0.01,0.12,0.08,0.14
0.7673399448394775,0.03,0.16,-0.06,0.17
0.7775640487670898,0.01,0.18,-0.15,0.23
0.7875771522521973,-0.03,0.16,-0.14,0.21
0.7976608276367188,-0.07,0.08,-0.04,0.11
0.8128149509429932,-0.06,0.02,0.11,0.12
0.8175439834594727,0.0,-0.02,0.18,0.18
0.8278059959411621,0.05,-0.03,0.19,0.19
0.8377070426940918,0.06,-0.03,0.12,0.13
0.8478150367736816,0.07,-0.02,0.01,0.07
0.86285400390625,0.1,0.0,-0.08,0.12
0.8678379058837891,0.1,0.02,-0.03,0.1
0.8781161308288574,0.07,0.04,0.09,0.12
0.8881559371948242,0.04,0.04,0.17,0.17
0.8981528282165527,0.05,0.06,0.15,0.16
0.9121060371398926,0.12,0.08,0.02,0.14
0.9182119369506836,0.18,0.01,-0.1,0.2
0.9284648895263672,0.19,0.0,-0.02,0.19
0.9384579658508301,0.13,-0.01,0.22,0.25
0.9484679698944092,0.08,-0.02,0.33,0.34
0.960731029510498,0.07,0.02,0.25,0.26
0.9685578346252441,0.08,0.01,0.11,0.13
0.978632926940918,0.1,0.03,-0.03,0.1
0.988706111907959,0.04,0.05,-0.02,0.06
0.9987430572509766,0.0,0.06,0.08,0.1
1.0093979835510254,-0.02,0.07,0.1,0.12
1.0188908576965332,-0.02,0.03,-0.04,0.05
1.0290110111236572,-0.01,0.02,-0.13,0.13
1.0389580726623535,-0.04,-0.02,-0.05,0.06
1.049036979675293,-0.03,-0.04,0.1,0.11
1.0595860481262207,-0.03,-0.06,0.15,0.16
1.0693800449371338,0.03,-0.09,0.06,0.11
1.0793218612670898,0.05,-0.07,0.0,0.08
1.0892901420593262,0.05,-0.02,0.01,0.05
1.0993280410766602,0.02,0.0,0.01,0.02
1.1095638275146484,0.02,0.04,-0.04,0.06
1.1194281578063965,-0.01,0.09,-0.1,0.13
1.1296169757843018,0.0,0.08,-0.14,0.16
1.1395540237426758,0.01,0.09,-0.11,0.14
1.1600661277770996,0.06,0.06,-0.08,0.11
1.1608760356903076,0.09,0.02,-0.03,0.09
1.1698970794677734,0.06,-0.02,0.03,0.06
1.1799449920654297,0.02,-0.07,0.16,0.17
1.1901888847351074,0.01,-0.09,0.28,0.29
1.210103988647461,0.02,-0.1,0.32,0.33
1.210874080657959,0.05,-0.11,0.25,0.27
1.2202529907226562,0.06,-0.08,0.17,0.19
1.2305998802185059,0.07,-0.02,0.12,0.14
1.240260124206543,0.04,0.04,0.02,0.06
1.2584869861602783,0.02,0.07,-0.09,0.11
1.2602620124816895,0.04,0.09,-0.21,0.23
1.270509958267212,0.05,0.09,-0.22,0.24
1.2804970741271973,0.02,0.05,-0.1,0.11
1.2906360626220703,-0.01,0.01,0.0,0.01
1.3080179691314697,0.0,-0.02,0.0,0.02
1.3108859062194824,-0.01,-0.05,-0.01,0.05
1.3207788467407227,-0.02,-0.04,0.03,0.05
1.3311080932617188,-0.04,-0.06,0.08,0.1
1.3409709930419922,-0.02,-0.07,0.11,0.13
1.3577818870544434,0.03,-0.07,0.11,0.13
1.3609349727630615,0.05,-0.07,0.05,0.09
1.3712170124053955,0.06,-0.06,-0.02,0.08
1.3810889720916748,0.04,-0.02,-0.05,0.06
1.3911428451538086,0.04,0.04,-0.06,0.08
1.4077701568603516,0.03,0.09,-0.09,0.13
1.4113659858703613,0.06,0.12,-0.15,0.2
1.4212839603424072,0.12,0.12,-0.15,0.22
1.4316070079803467,0.15,0.09,-0.13,0.21
1.4416229724884033,0.13,0.04,-0.07,0.15
1.457705020904541,0.13,0.01,0.06,0.14
1.4615869522094727,0.08,-0.03,0.17,0.19
1.4721109867095947,0.03,-0.05,0.21,0.21
1.4817180633544922,0.02,-0.04,0.21,0.21
1.4919171333312988,-0.03,-0.01,0.18,0.18
1.5082240104675293,-0.01,0.0,0.14,0.14
1.5120611190795898,-0.01,0.02,0.12,0.12
1.522028923034668,0.0,0.02,0.06,0.06
1.5324578285217285,0.03,0.04,-0.02,0.05
1.5424518585205078,0.1,0.04,-0.1,0.14
1.5577998161315918,0.14,0.02,-0.09,0.16
1.562173843383789,0.13,-0.01,0.03,0.13
1.5727369785308838,0.09,-0.03,0.18,0.2
1.5824689865112305,0.03,-0.06,0.25,0.25
1.5925359725952148,0.0,-0.08,0.25,0.26
1.6083488464355469,-0.02,-0.07,0.27,0.27
1.6126608848571777,0.0,-0.07,0.26,0.26
1.6227588653564453,0.05,-0.06,0.17,0.18
1.632735013961792,0.13,-0.04,0.04,0.14
1.6431021690368652,0.16,0.0,-0.05,0.16
1.6578550338745117,0.18,0.0,-0.06,0.18
1.6627840995788574,0.13,0.0,-0.05,0.13
1.6732749938964844,0.1,-0.02,-0.05,0.11
1.6830830574035645,0.01,-0.03,-0.07,0.07
1.693160057067871,-0.03,-0.06,-0.08,0.1
1.7085881233215332,0.0,-0.05,-0.01,0.05
1.7133679389953613,0.04,-0.04,0.06,0.08
1.7234339714050293,0.07,-0.03,0.08,0.11
1.7336230278015137,0.11,-0.04,0.04,0.12
1.7436609268188477,0.14,-0.05,0.03,0.15
1.7579808235168457,0.08,-0.05,0.09,0.13
1.763577938079834,0.05,-0.06,0.12,0.14
1.773941993713379,0.03,-0.07,0.12,0.14
1.7836761474609375,-0.01,-0.05,0.09,0.1
1.7938060760498047,0.0,-0.04,0.03,0.05
1.8084559440612793,-0.01,-0.01,-0.03,0.03
1.8139309883117676,0.0,0.01,-0.08,0.08
1.8239970207214355,-0.01,0.07,-0.05,0.08
1.834010124206543,-0.03,0.08,-0.04,0.09
1.8440771102905273,-0.06,0.06,0.05,0.09
1.8584270477294922,-0.05,0.06,0.14,0.16
1.8643808364868164,-0.03,0.02,0.12,0.12
1.8744149208068848,-0.01,0.0,0.09,0.09
1.8842201232910156,-0.01,0.01,0.11,0.11
1.894765853881836,-0.02,0.01,0.12,0.12
1.9079029560089111,-0.02,-0.02,0.06,0.06
1.9145889282226562,0.0,-0.02,0.02,0.02
1.9249801635742188,-0.01,-0.03,0.06,0.06
1.9348430633544922,-0.01,-0.04,0.14,0.14
1.944869041442871,-0.01,-0.04,0.18,0.18
1.9581830501556396,-0.02,-0.03,0.16,0.16
1.9648709297180176,0.01,-0.02,0.11,0.11
1.9751229286193848,0.02,-0.01,0.09,0.09
1.9849979877471924,0.0,-0.02,0.09,0.09
1.9956049919128418,-0.02,-0.03,0.12,0.12
2.007761001586914,0.0,-0.03,0.13,0.13
2.0152339935302734,0.02,-0.04,0.05,0.06
2.0255420207977295,0.01,-0.03,0.0,0.03
2.035346031188965,0.03,-0.01,-0.01,0.03
2.0455288887023926,0.04,-0.02,-0.04,0.06
2.057826042175293,0.02,-0.02,0.02,0.03
2.0659470558166504,0.0,-0.03,0.11,0.11
2.0756888389587402,0.0,-0.03,0.13,0.13
2.0855860710144043,0.0,-0.05,0.08,0.09
2.096007823944092,0.0,-0.03,0.08,0.08
2.1078081130981445,-0.01,0.0,0.12,0.12
2.1158180236816406,-0.03,0.0,0.11,0.11
2.1264238357543945,-0.01,0.03,0.06,0.06
2.1360199451446533,-0.01,0.03,-0.01,0.03
2.146246910095215,0.01,0.03,-0.03,0.04
2.157681941986084,0.01,0.01,0.0,0.01
2.1662800312042236,-0.01,0.0,0.08,0.08
2.1763439178466797,-0.03,-0.01,0.11,0.11
2.1862120628356934,-0.04,-0.04,0.07,0.09
2.196774959564209,-0.02,-0.05,0.1,0.11
2.207697868347168,-0.01,-0.03,0.18,0.18
2.2169418334960938,0.0,0.0,0.15,0.15
2.226613998413086,0.0,0.0,0.06,0.06
2.236905097961426,0.02,0.01,0.01,0.02
2.246706008911133,0.03,0.03,-0.01,0.04
2.257887840270996,0.04,0.01,-0.06,0.07
2.2671279907226562,0.05,0.01,-0.09,0.1
2.2770049571990967,0.05,0.0,-0.06,0.07
2.2869019508361816,0.05,-0.01,0.06,0.07
2.29732608795166,0.06,0.0,0.15,0.16
2.307587146759033,0.05,0.01,0.17,0.17
2.317141056060791,0.04,0.0,0.12,0.12
2.327306032180786,0.03,0.0,0.08,0.08
2.337501049041748,0.02,-0.02,0.06,0.06
2.3473470211029053,0.02,-0.04,0.08,0.09
2.3575668334960938,0.0,-0.06,0.15,0.16
2.367486000061035,0.0,-0.06,0.14,0.15
2.3776869773864746,0.01,-0.04,0.1,0.1
2.387692928314209,-0.01,-0.01,0.03,0.03
2.397963047027588,-0.05,0.01,-0.05,0.07
2.407963991165161,0.0,0.05,-0.05,0.07
2.417929172515869,0.04,0.07,-0.06,0.1
2.4279918670654297,0.05,0.06,-0.05,0.09
2.4382448196411133,0.05,0.06,-0.01,0.07
2.4480409622192383,0.05,0.04,0.02,0.06
2.458256959915161,0.07,0.04,0.06,0.1
2.4680659770965576,0.05,0.03,0.09,0.1
2.478376865386963,-0.01,-0.01,0.13,0.13
2.488351821899414,0.0,-0.02,0.2,0.2
2.498459815979004,0.02,-0.01,0.22,0.22
2.5084519386291504,0.0,0.0,0.17,0.17
2.5184600353240967,-0.02,0.02,0.05,0.05
