time,ax,ay,az,atotal
0.004914760589599609,-0.67,0.99,1.61,2.0
0.013000965118408203,-0.5,0.08,2.26,2.31
0.027543067932128906,-0.1,-0.86,2.94,3.06
0.033110857009887695,0.04,-1.71,3.33,3.74
0.043135881423950195,0.07,-2.18,3.47,4.09
0.05313682556152344,0.03,-2.03,3.08,3.68
0.06336593627929688,-0.14,-1.62,1.93,2.52
0.07763886451721191,-0.58,-1.07,1.15,1.67
0.08319592475891113,-0.53,-0.56,0.2,0.79
0.09342384338378906,-0.7,-0.39,-0.51,0.94
0.10324478149414062,-0.81,-0.48,-0.93,1.32
0.11366796493530273,-0.72,-0.45,-0.92,1.25
0.12793588638305664,-0.65,-0.41,-0.52,0.92
0.13437891006469727,-0.54,-0.36,-0.18,0.67
0.14384174346923828,-0.38,-0.28,0.09,0.48
0.15371489524841309,-0.27,-0.28,0.22,0.44
0.16405773162841797,-0.18,-0.37,0.15,0.43
0.17788076400756836,-0.12,-0.5,0.02,0.51
0.18441295623779297,-0.04,-0.7,-0.11,0.7
0.19419097900390625,0.03,-0.95,-0.3,0.99
0.2039790153503418,0.14,-1.18,-0.54,1.3
0.21426773071289062,0.18,-1.23,-0.75,1.45
0.22889995574951172,0.05,-1.15,-0.88,1.44
0.23441076278686523,0.11,-0.97,-1.34,1.65
0.24446988105773926,0.06,-0.75,-1.98,2.11
0.2543299198150635,-0.03,-0.55,-2.58,2.63
0.2644829750061035,-0.08,-0.31,-2.87,2.88
0.2778749465942383,-0.04,-0.13,-2.77,2.77
0.2844867706298828,-0.02,-0.01,-2.52,2.52
0.29473304748535156,0.11,0.06,-2.23,2.23
0.3047049045562744,0.18,0.06,-1.98,1.98
0.314708948135376,0.18,0.02,-1.81,1.81
0.3278160095214844,0.2,0.02,-1.69,1.7
0.3347740173339844,0.12,-0.02,-1.56,1.56
0.3450617790222168,-0.02,-0.01,-1.47,1.47
0.35514187812805176,-0.11,0.07,-1.38,1.38
0.36525678634643555,-0.26,0.14,-1.2,1.23
0.37946295738220215,-0.39,0.19,-0.94,1.03
0.38521289825439453,-0.47,0.18,-0.59,0.77
0.39542198181152344,-0.67,0.14,0.01,0.68
0.40543603897094727,-0.38,0.26,0.39,0.6
0.41539907455444336,-0.57,0.24,0.62,0.87
0.4290890693664551,-0.58,0.35,0.76,1.01
0.43553996086120605,-0.6,0.67,0.55,1.05
0.4455249309539795,-0.67,0.87,0.14,1.1
0.45572495460510254,-0.58,1.11,-0.13,1.25
0.4656968116760254,-0.28,1.24,-0.37,1.32
0.4788780212402344,-0.18,1.15,-0.42,1.23
0.4858219623565674,-0.04,1.0,-0.16,1.01
0.4959688186645508,0.04,0.78,0.57,0.96
0.5060720443725586,0.08,0.4,1.43,1.48
0.5160388946533203,-0.07,0.14,2.3,2.3
0.5295488834381104,-0.24,-0.08,2.94,2.95
0.536247730255127,-0.33,0.07,3.14,3.15
0.546259880065918,-0.29,0.73,2.97,3.07
0.5562648773193359,0.02,1.21,2.35,2.64
0.5662140846252441,0.42,1.35,1.62,2.15
0.5799517631530762,0.47,1.23,1.39,1.91
0.5865139961242676,0.55,0.97,1.33,1.73
0.5965099334716797,0.26,0.4,1.81,1.87
0.6066107749938965,0.08,-0.3,2.46,2.47
0.6168129444122314,0.16,-0.89,3.14,3.26
0.6311769485473633,0.21,-1.4,3.62,3.88
0.636664867401123,0.09,-1.72,3.64,4.02
0.6468088626861572,0.36,-1.75,2.94,3.44
0.657012939453125,0.57,-1.36,2.02,2.5
0.6676309108734131,0.59,-1.16,1.02,1.65
0.6773810386657715,0.55,-0.96,0.23,1.13
0.6962108612060547,0.54,-0.77,-0.25,0.97
0.6973378658294678,0.41,-0.72,-0.58,1.01
0.7074248790740967,0.29,-0.62,-0.85,1.09
0.7176079750061035,0.29,-0.46,-1.0,1.13
0.7274749279022217,0.34,-0.33,-0.9,1.01
0.745032787322998,0.36,-0.3,-0.69,0.83
0.7473130226135254,0.38,-0.53,-0.5,0.82
0.7574939727783203,0.38,-0.97,-0.33,1.09
0.7675929069519043,0.32,-1.38,-0.08,1.41
0.7777738571166992,0.26,-1.64,0.12,1.66
0.7946228981018066,0.16,-1.68,0.27,1.7
0.7976469993591309,0.0,-1.49,0.26,1.51
0.8080220222473145,-0.09,-1.23,0.0,1.23
0.8179168701171875,-0.15,-0.91,-0.56,1.07
0.8280429840087891,-0.13,-0.6,-1.3,1.43
0.8441998958587646,-0.07,-0.33,-1.98,2.0
0.8480968475341797,0.02,-0.15,-2.58,2.58
0.8582229614257812,0.18,-0.05,-2.99,2.99
0.8682808876037598,0.21,0.0,-3.12,3.12
0.8783628940582275,0.27,0.02,-2.95,2.96
0.894463062286377,0.26,0.04,-2.61,2.62
0.898439884185791,0.24,-0.01,-2.31,2.32
0.9085698127746582,0.29,-0.03,-2.07,2.09
0.9185259342193604,0.28,0.02,-1.95,1.97
0.9287679195404053,0.29,0.05,-1.89,1.91
0.9445919990539551,0.27,0.07,-1.74,1.76
0.9487228393554688,0.24,0.09,-1.56,1.58
0.9589059352874756,0.21,0.13,-1.41,1.43
0.9689369201660156,0.21,0.17,-1.22,1.24
0.9789738655090332,0.21,0.26,-0.91,0.96
0.9944930076599121,0.23,0.36,-0.59,0.72
0.9990558624267578,0.3,0.5,-0.26,0.63
1.0092878341674805,0.33,0.62,-0.05,0.7
1.01938796043396,0.34,0.78,-0.03,0.85
1.0293760299682617,0.3,1.0,-0.13,1.05
1.045022964477539,0.21,1.18,-0.21,1.21
1.0493988990783691,0.16,1.34,-0.22,1.36
1.0594639778137207,0.16,1.48,-0.07,1.49
1.0695757865905762,0.14,1.52,0.04,1.52
1.0797090530395508,0.01,1.39,0.28,1.41
1.0942869186401367,0.41,1.25,0.58,1.43
1.0997247695922852,0.41,1.03,0.7,1.31
1.1098859310150146,0.46,0.57,1.0,1.23
1.1199729442596436,0.47,0.17,1.53,1.6
1.1300468444824219,0.38,-0.06,2.31,2.34
1.1450767517089844,0.22,-0.05,2.77,2.77
1.1500239372253418,0.07,0.32,2.76,2.77
1.1602368354797363,0.01,1.48,2.5,2.9
1.1703579425811768,-0.09,2.29,2.01,3.04
1.180398941040039,-0.36,2.46,1.66,2.98
1.1952259540557861,-0.7,2.34,1.63,2.93
1.2009530067443848,-0.76,1.9,1.87,2.77
1.2104949951171875,-0.6,0.93,2.41,2.65
1.2206878662109375,-0.5,-0.36,3.31,3.36
1.2306568622589111,-0.3,-1.68,4.33,4.65
1.2450299263000488,-0.15,-2.75,5.08,5.77
1.250946044921875,-0.11,-3.05,5.17,6.0
1.260861873626709,-0.19,-2.7,4.21,5.0
1.271012783050537,-0.46,-2.19,2.42,3.29
1.2809689044952393,-0.58,-1.57,0.5,1.74
1.2949557304382324,-0.73,-1.12,-1.02,1.68
1.3010950088500977,-0.93,-0.87,-1.85,2.24
1.311128854751587,-0.95,-0.82,-2.05,2.4
1.321225881576538,-0.88,-0.77,-1.64,2.01
1.3313188552856445,-0.63,-0.69,-0.9,1.29
1.344566822052002,-0.51,-0.71,-0.22,0.9
1.3513517379760742,-0.44,-0.86,0.15,0.97
1.3615989685058594,-0.19,-1.0,0.23,1.04
1.3716950416564941,0.04,-1.24,0.26,1.26
1.381692886352539,0.12,-1.38,0.28,1.41
1.394399881362915,0.12,-1.43,0.1,1.43
1.4016308784484863,0.08,-1.4,-0.36,1.44
1.412013053894043,0.07,-1.27,-0.97,1.59
1.4220190048217773,0.1,-1.0,-1.67,1.94
1.4320769309997559,0.13,-0.68,-2.38,2.47
1.444882869720459,0.2,-0.41,-3.0,3.03
1.4522228240966797,0.25,-0.23,-3.42,3.43
1.4622619152069092,0.25,-0.08,-3.51,3.51
1.4723167419433594,0.23,0.03,-3.32,3.32
1.4822697639465332,0.18,0.06,-3.01,3.01
1.4948699474334717,0.13,0.23,-2.75,2.76
1.5023689270019531,0.12,0.34,-2.64,2.66
1.512542963027954,0.04,0.45,-2.5,2.54
1.5226330757141113,-0.05,0.48,-2.31,2.35
1.5326347351074219,-0.15,0.45,-2.14,2.19
1.5451860427856445,-0.24,0.41,-1.96,2.01
1.5528059005737305,-0.31,0.33,-1.81,1.86
1.5628328323364258,-0.38,0.22,-1.57,1.63
1.57293701171875,-0.38,0.13,-1.16,1.22
1.5829598903656006,-0.43,0.11,-0.64,0.77
1.594876766204834,-0.44,0.14,-0.13,0.47
1.6029257774353027,-0.43,0.24,0.3,0.57
1.6130938529968262,-0.45,0.46,0.6,0.87
1.6234130859375,-0.47,0.7,0.63,1.05
1.633293867111206,-0.43,1.0,0.49,1.19
1.645413875579834,-0.3,1.26,0.26,1.32
1.6533570289611816,-0.12,1.48,0.09,1.48
1.66336989402771,-0.05,1.51,0.13,1.51
1.673637866973877,0.11,1.36,0.4,1.42
1.6945228576660156,0.13,1.11,0.8,1.37
1.6954050064086914,0.06,0.73,1.33,1.51
1.7038097381591797,-0.07,0.29,1.99,2.01
1.7137770652770996,-0.21,-0.08,2.78,2.78
1.724005937576294,-0.24,-0.27,3.32,3.33
1.7449250221252441,-0.21,0.1,3.32,3.32
1.7457270622253418,-0.2,1.29,2.91,3.18
1.7540559768676758,0.18,1.96,2.24,2.98
1.764124870300293,0.73,1.71,1.63,2.47
1.7742400169372559,0.68,1.22,1.69,2.19
1.7952549457550049,0.46,0.57,2.5,2.6
1.7960968017578125,0.57,-0.56,3.51,3.59
1.8043618202209473,0.5,-1.67,4.58,4.9
1.814471960067749,0.39,-2.37,5.44,5.94
1.8245849609375,0.59,-2.88,5.56,6.28
1.845012903213501,0.81,-2.96,4.77,5.67
1.845850944519043,1.03,-2.59,3.44,4.42
1.8546688556671143,1.3,-2.21,2.04,3.27
1.8648347854614258,1.23,-1.95,0.91,2.47
1.8748769760131836,1.1,-1.87,0.19,2.17
1.8953039646148682,1.01,-1.81,-0.02,2.07
1.8961677551269531,1.0,-1.96,0.04,2.2
1.9049489498138428,0.82,-2.26,0.21,2.41
1.9151520729064941,0.67,-2.5,0.45,2.62
1.9253599643707275,0.59,-2.59,0.64,2.73
1.944976806640625,0.5,-2.52,0.66,2.65
1.9458038806915283,0.39,-2.51,0.36,2.56
1.9553828239440918,0.22,-2.44,-0.21,2.45
1.965527057647705,0.1,-2.34,-0.84,2.48
1.9756419658660889,-0.12,-2.19,-1.34,2.57
1.9950108528137207,-0.28,-2.06,-1.81,2.75
1.9958438873291016,-0.36,-1.8,-2.19,2.85
