time,ax,ay,az,atotal
0.01398468017578125,-0.17,0.15,2.79,2.79
0.014592885971069336,-0.29,0.69,2.75,2.85
0.023271799087524414,-0.17,1.4,2.62,2.97
0.033780813217163086,-0.01,1.74,2.18,2.78
0.04333782196044922,-0.01,1.51,1.59,2.19
0.06121182441711426,-0.04,1.19,1.44,1.86
0.06339883804321289,-0.11,0.98,1.78,2.03
0.07376575469970703,-0.01,0.59,2.23,2.3
0.08382987976074219,0.02,0.27,2.5,2.51
0.0939626693725586,-0.12,-0.09,2.38,2.38
0.1116938591003418,-0.17,-0.46,1.93,1.99
0.11380887031555176,-0.04,-0.83,1.47,1.68
0.12407398223876953,0.12,-1.23,1.28,1.77
0.13394880294799805,0.39,-1.45,1.27,1.96
0.14428997039794922,0.71,-1.42,1.25,2.02
0.16225671768188477,0.91,-1.14,0.93,1.72
0.16420793533325195,1.03,-0.81,-0.32,1.34
0.17440366744995117,0.88,-0.42,-0.67,1.18
0.18436670303344727,1.09,-0.17,-0.83,1.38
0.1944899559020996,0.99,-0.07,-1.03,1.43
0.21318888664245605,0.85,-0.22,-1.24,1.51
0.2145078182220459,0.69,-0.34,-1.06,1.3
0.22467279434204102,0.61,-0.41,-0.53,0.9
0.23465871810913086,0.5,-0.48,0.02,0.69
0.24488377571105957,0.33,-0.68,0.24,0.79
0.26317596435546875,0.23,-0.87,0.24,0.93
0.26482200622558594,0.13,-1.0,0.18,1.02
0.2751188278198242,-0.01,-1.09,0.26,1.12
0.2850179672241211,-0.08,-1.07,0.4,1.14
0.29509973526000977,-0.08,-0.95,0.41,1.03
0.31415891647338867,-0.08,-0.81,0.08,0.81
0.31508684158325195,0.0,-0.63,-0.6,0.87
0.32541799545288086,0.09,-0.5,-1.29,1.38
0.3354148864746094,0.09,-0.43,-1.8,1.85
0.34555578231811523,0.03,-0.33,-2.02,2.04
0.36362600326538086,0.01,-0.28,-2.04,2.05
0.3654899597167969,-0.04,-0.22,-1.96,1.97
0.3756709098815918,-0.07,-0.18,-1.97,1.97
0.3856468200683594,-0.05,-0.13,-1.99,1.99
0.39586877822875977,-0.01,-0.08,-1.94,1.94
0.41382598876953125,0.1,0.03,-1.86,1.86
0.4159228801727295,0.24,0.15,-1.77,1.79
0.42607688903808594,0.32,0.24,-1.66,1.7
0.43590879440307617,0.41,0.31,-1.53,1.61
0.4461848735809326,0.48,0.34,-1.39,1.5
0.4637126922607422,0.5,0.33,-1.14,1.28
0.46612071990966797,0.54,0.29,-0.77,0.98
0.4762728214263916,0.54,0.28,-0.36,0.7
0.48640871047973633,0.51,0.31,0.17,0.62
0.4965519905090332,0.46,0.4,0.43,0.74
0.5132598876953125,0.48,0.52,0.31,0.77
0.5163998603820801,0.5,0.65,-0.02,0.82
0.5265488624572754,0.35,0.8,-0.12,0.88
0.5367469787597656,0.23,0.93,0.04,0.95
0.5468039512634277,0.09,1.07,0.13,1.08
0.562828779220581,-0.06,1.1,0.19,1.11
0.5672268867492676,-0.25,1.03,0.56,1.19
0.5770359039306641,-0.35,0.99,1.01,1.45
0.5868597030639648,-0.38,0.84,1.27,1.56
0.5971379280090332,-0.5,0.56,1.82,1.96
0.6129388809204102,-0.35,0.26,2.4,2.43
0.6172058582305908,-0.35,0.16,2.79,2.81
0.6273918151855469,-0.43,0.69,2.87,2.98
0.6371626853942871,-0.51,1.7,2.57,3.12
0.6474947929382324,-0.67,2.09,2.11,3.04
0.6631379127502441,-0.93,1.78,1.73,2.65
0.6673808097839355,-1.12,1.35,1.43,2.26
0.6776878833770752,-0.94,0.81,1.25,1.76
0.6876969337463379,-0.43,-0.09,1.45,1.51
0.6977930068969727,0.01,-0.91,2.06,2.25
0.7133216857910156,0.36,-1.6,2.76,3.21
0.7177698612213135,0.5,-1.98,3.25,3.83
0.7279307842254639,0.39,-1.96,3.23,3.79
0.7379307746887207,0.11,-1.65,2.53,3.02
0.7481088638305664,-0.35,-1.28,1.54,2.03
0.7633829116821289,-0.7,-0.96,0.55,1.3
0.7680518627166748,-0.86,-0.71,-0.38,1.17
0.778303861618042,-0.83,-0.57,-1.3,1.64
0.7883617877960205,-0.74,-0.35,-1.9,2.06
0.7984809875488281,-0.62,-0.11,-1.78,1.88
0.813544750213623,-0.51,-0.2,-1.13,1.25
0.8184428215026855,-0.48,-0.5,-0.43,0.81
0.8286089897155762,-0.43,-0.69,0.12,0.82
0.8386328220367432,-0.31,-0.8,0.28,0.9
0.8487157821655273,-0.31,-0.95,0.03,0.99
0.8641576766967773,-0.36,-1.02,-0.33,1.13
0.8688218593597412,-0.29,-1.03,-0.59,1.22
0.8787989616394043,-0.2,-0.99,-0.73,1.24
0.8889579772949219,-0.14,-0.86,-0.8,1.18
0.899014949798584,-0.03,-0.63,-0.94,1.13
0.9140338897705078,0.05,-0.36,-1.25,1.3
0.9191269874572754,0.04,-0.17,-1.7,1.7
0.9292569160461426,-0.08,-0.08,-2.07,2.07
0.9392876625061035,-0.16,0.0,-2.11,2.11
0.9492616653442383,-0.22,0.04,-1.96,1.97
0.9646549224853516,-0.26,0.03,-1.75,1.76
0.9695508480072021,-0.24,0.05,-1.62,1.63
0.9795637130737305,-0.21,0.05,-1.65,1.66
0.9896857738494873,-0.23,0.06,-1.83,1.84
0.9996898174285889,-0.23,0.09,-1.96,1.97
1.0149469375610352,-0.27,0.13,-1.91,1.93
1.0197439193725586,-0.34,0.14,-1.83,1.86
1.0298528671264648,-0.36,0.2,-1.72,1.76
1.0398359298706055,-0.42,0.28,-1.51,1.59
1.0506019592285156,-0.41,0.38,-1.34,1.45
1.0601286888122559,-0.35,0.46,-1.3,1.42
1.0815258026123047,-0.33,0.55,-1.12,1.29
1.0822129249572754,-0.35,0.6,-0.78,1.04
1.0902578830718994,-0.4,0.64,-0.43,0.86
1.100578784942627,-0.42,0.65,-0.15,0.78
1.1104578971862793,-0.43,0.62,0.18,0.77
1.1304218769073486,-0.56,0.65,0.57,1.03
1.1311206817626953,-0.57,0.8,0.89,1.32
1.1407148838043213,-0.46,0.85,1.04,1.41
