time,ax,ay,az,atotal
0.0023488998413085938,-0.14,0.42,-0.91,1.01
0.012355804443359375,-0.18,0.42,-0.59,0.74
0.022302865982055664,-0.36,0.43,-0.25,0.61
0.03222179412841797,-0.49,0.45,0.02,0.66
0.044037818908691406,-0.54,0.48,0.27,0.77
0.052324771881103516,-0.57,0.53,0.45,0.89
0.06245684623718262,-0.57,0.59,0.59,1.01
0.07266688346862793,-0.43,0.69,0.58,0.99
0.08276081085205078,-0.28,0.7,0.49,0.89
0.0951988697052002,-0.1,0.71,0.45,0.84
0.10280990600585938,-0.01,0.66,0.56,0.86
0.11287879943847656,-0.02,0.56,0.93,1.08
0.12298297882080078,-0.15,0.4,1.47,1.53
0.1331188678741455,-0.32,0.25,2.0,2.04
0.14582586288452148,-0.49,0.43,2.47,2.55
0.15309882164001465,-0.65,1.14,2.73,3.02
0.1631908416748047,-0.47,1.7,2.42,2.99
0.17344880104064941,-0.1,1.68,1.6,2.32
0.18333673477172852,0.21,1.33,1.02,1.68
0.19645071029663086,0.29,1.01,1.29,1.66
0.2035226821899414,0.35,0.52,2.31,2.39
0.21356868743896484,0.27,-0.18,3.35,3.36
0.2237567901611328,0.03,-0.92,3.91,4.01
0.24569368362426758,-0.16,-1.65,3.93,4.26
0.2465677261352539,-0.13,-2.17,3.82,4.39
0.25392770767211914,-0.02,-2.35,3.64,4.33
0.2639007568359375,0.18,-2.33,3.28,4.02
0.27411794662475586,0.32,-2.06,2.56,3.3
0.2962348461151123,0.43,-1.57,1.51,2.22
0.29713988304138184,0.58,-1.04,0.61,1.33
0.30412769317626953,0.77,-0.55,-0.21,0.96
0.31415796279907227,0.87,-0.31,-1.06,1.4
0.32439374923706055,0.89,-0.19,-1.65,1.88
0.3464658260345459,0.84,-0.19,-1.78,1.97
0.34734392166137695,0.73,-0.4,-1.46,1.68
0.3545069694519043,0.49,-0.7,-0.8,1.17
0.364412784576416,0.22,-0.95,-0.2,0.99
0.37456488609313965,0.01,-1.14,-0.04,1.14
0.3924698829650879,-0.1,-1.24,-0.15,1.25
0.39449167251586914,-0.21,-1.25,-0.25,1.29
0.4047048091888428,-0.34,-1.2,-0.3,1.28
0.4146099090576172,-0.38,-1.1,-0.43,1.24
0.4250006675720215,-0.33,-0.95,-0.7,1.22
0.44127583503723145,-0.21,-0.77,-1.06,1.32
0.4447908401489258,-0.12,-0.61,-1.45,1.57
0.4551386833190918,-0.01,-0.43,-1.85,1.89
0.46503591537475586,0.14,-0.3,-2.31,2.33
0.4752039909362793,0.14,-0.25,-2.65,2.66
0.49182677268981934,0.07,-0.22,-2.73,2.73
0.49517393112182617,0.03,-0.15,-2.72,2.72
0.5054378509521484,-0.01,-0.11,-2.66,2.66
0.5152187347412109,-0.07,-0.1,-2.57,2.57
0.52569580078125,-0.11,-0.05,-2.46,2.46
0.5412838459014893,-0.04,-0.01,-2.35,2.35
0.5454788208007812,0.04,0.12,-2.13,2.13
0.5559906959533691,0.09,0.24,-1.94,1.95
0.5656998157501221,0.13,0.29,-1.83,1.85
0.5758898258209229,0.19,0.4,-1.63,1.68
0.5917568206787109,0.3,0.46,-1.37,1.47
0.5957798957824707,0.38,0.46,-1.01,1.17
0.6059978008270264,0.44,0.46,-0.54,0.83
0.6158947944641113,0.5,0.47,-0.1,0.69
0.6262907981872559,0.51,0.55,0.24,0.78
0.6413679122924805,0.45,0.62,0.38,0.85
0.6462478637695312,0.4,0.71,0.5,0.95
0.6564598083496094,0.31,0.88,0.69,1.16
0.6662569046020508,0.21,0.99,0.82,1.3
0.6764638423919678,0.12,1.03,0.89,1.36
0.6917939186096191,0.15,1.04,0.96,1.42
0.6965899467468262,0.21,0.84,1.07,1.37
0.7066769599914551,0.28,0.53,1.39,1.51
0.7168917655944824,0.28,0.21,2.07,2.09
0.7269477844238281,0.22,0.07,2.91,2.91
0.741365909576416,0.07,0.49,3.42,3.45
0.7467746734619141,-0.26,1.22,3.36,3.58
0.7570219039916992,-0.6,1.78,2.92,3.47
0.7672238349914551,-0.9,1.92,2.26,3.09
0.7771477699279785,-1.05,1.65,1.66,2.56
0.791287899017334,-0.79,1.02,1.66,2.1
0.797266960144043,-0.2,-0.15,2.17,2.18
0.8072967529296875,0.34,-1.46,3.01,3.36
0.8171408176422119,0.57,-2.18,4.01,4.59
0.8277618885040283,0.48,-2.36,4.41,5.02
0.8411579132080078,0.07,-2.28,3.57,4.23
0.8475489616394043,-0.44,-1.9,2.15,2.9
0.8575239181518555,-0.73,-1.48,0.71,1.79
0.8676187992095947,-1.06,-1.22,-0.46,1.68
0.8777799606323242,-1.07,-1.03,-0.86,1.71
0.8909707069396973,-0.88,-0.86,-0.78,1.45
0.8978466987609863,-0.79,-0.8,-0.51,1.23
0.9078857898712158,-0.84,-0.8,-0.4,1.22
0.9180018901824951,-0.78,-0.81,-0.42,1.2
0.9280498027801514,-0.67,-0.89,-0.58,1.25
0.9419059753417969,-0.48,-1.06,-0.72,1.36
0.948112964630127,-0.25,-1.17,-0.77,1.42
0.9583396911621094,-0.01,-1.22,-0.81,1.46
0.968195915222168,0.2,-1.21,-0.83,1.48
0.9784348011016846,0.37,-1.15,-0.93,1.52
0.9929227828979492,0.5,-1.08,-1.21,1.69
0.9985179901123047,0.62,-1.05,-1.56,1.98
1.0087099075317383,0.73,-0.89,-1.85,2.17
1.0185458660125732,0.77,-0.76,-2.09,2.35
1.0287768840789795,0.69,-0.61,-2.19,2.37
1.0437359809875488,0.56,-0.49,-2.26,2.37
1.0488576889038086,0.37,-0.35,-2.33,2.38
1.0590977668762207,0.17,-0.29,-2.48,2.5
1.0689308643341064,0.07,-0.2,-2.64,2.64
1.079115867614746,-0.07,-0.03,-2.63,2.63
1.0943498611450195,-0.15,0.01,-2.51,2.51
1.099207878112793,-0.13,0.03,-2.23,2.23
1.109311819076538,-0.13,0.06,-1.87,1.87
1.1192169189453125,-0.17,0.09,-1.54,1.55
1.1293768882751465,-0.19,0.06,-1.24,1.25
1.1448228359222412,-0.24,0.07,-0.93,0.96
1.1495368480682373,-0.32,0.09,-0.67,0.74
1.1597068309783936,-0.42,0.15,-0.47,0.64
1.169651985168457,-0.46,0.3,-0.35,0.65
1.1797966957092285,-0.48,0.47,-0.33,0.74
1.1957437992095947,-0.47,0.63,-0.29,0.83
1.1998586654663086,-0.46,0.8,-0.14,0.93
1.2100329399108887,-0.43,0.97,0.12,1.06
1.2199947834014893,-0.46,1.03,0.45,1.21
1.2301218509674072,-0.5,1.03,0.8,1.39
1.2461867332458496,-0.44,1.02,1.16,1.6
1.2505669593811035,-0.35,0.93,1.39,1.7
1.2603988647460938,-0.3,0.66,1.62,1.77
1.2703168392181396,-0.25,0.41,2.07,2.12
1.2804536819458008,-0.28,0.57,2.66,2.73
1.2966656684875488,-0.46,1.11,3.1,3.32
1.3005647659301758,-0.44,1.5,3.14,3.5
1.3107256889343262,-0.23,1.71,2.81,3.29
1.3208158016204834,-0.08,1.69,2.38,2.92
1.3308167457580566,-0.05,1.56,2.42,2.87
1.3475847244262695,0.02,1.06,2.84,3.03
1.350700855255127,0.06,0.28,3.2,3.21
1.3609809875488281,0.02,-0.61,3.52,3.57
1.3711047172546387,0.15,-1.44,4.15,4.39
1.3811237812042236,0.35,-2.19,4.7,5.19
1.3966708183288574,0.39,-2.57,4.93,5.57
1.4011998176574707,0.38,-2.47,4.54,5.18
1.4112677574157715,0.42,-2.05,3.37,3.96
1.421475887298584,0.4,-1.51,1.78,2.36
1.4314846992492676,0.54,-0.98,0.47,1.21
1.4464337825775146,0.63,-0.52,-0.77,1.12
1.4514060020446777,0.88,-0.37,-1.74,1.98
1.4616527557373047,0.92,-0.34,-2.31,2.5
1.4717187881469727,0.87,-0.57,-2.37,2.58
1.481644868850708,0.74,-0.83,-1.83,2.14
1.4948339462280273,0.46,-1.18,-1.0,1.61
1.5017127990722656,0.21,-1.51,-0.38,1.57
1.511934757232666,0.04,-1.64,-0.4,1.68
1.5220987796783447,-0.17,-1.68,-0.73,1.83
1.5321578979492188,-0.29,-1.69,-0.97,1.97
1.5451407432556152,-0.32,-1.61,-1.02,1.93
1.5520730018615723,-0.25,-1.47,-1.07,1.83
1.5622286796569824,-0.14,-1.3,-1.21,1.78
1.572361946105957,-0.01,-1.13,-1.54,1.91
1.5823659896850586,0.07,-0.96,-1.87,2.1
1.5962786674499512,0.09,-0.76,-2.15,2.28
1.6025257110595703,0.12,-0.59,-2.46,2.53
1.6126148700714111,0.1,-0.44,-2.74,2.77
1.6226587295532227,0.02,-0.32,-2.98,2.99
1.6327967643737793,-0.09,-0.22,-3.16,3.16
1.6466479301452637,-0.18,-0.15,-3.2,3.2
1.6528139114379883,-0.24,-0.08,-3.06,3.07
1.6629328727722168,-0.27,-0.01,-2.82,2.83
1.672947883605957,-0.23,0.01,-2.55,2.56
1.683058738708496,-0.09,0.04,-2.24,2.24
1.6971628665924072,0.06,0.07,-1.92,1.92
1.7031097412109375,0.16,0.07,-1.59,1.59
1.7132258415222168,0.21,0.07,-1.18,1.2
1.7234129905700684,0.24,0.14,-0.68,0.73
1.7338409423828125,0.23,0.23,-0.25,0.41
1.7434659004211426,0.17,0.36,-0.05,0.4
1.7636489868164062,0.12,0.61,0.01,0.62
1.7645127773284912,0.06,0.9,0.02,0.9
1.773770809173584,0.05,1.15,0.05,1.15
1.7839207649230957,0.1,1.33,0.09,1.33
1.793874740600586,0.14,1.42,0.12,1.43
1.8129496574401855,0.11,1.46,0.32,1.49
1.8138647079467773,0.1,1.36,0.61,1.49
1.8240528106689453,0.1,1.19,0.99,1.55
1.8339118957519531,0.07,0.98,1.4,1.71
1.844045877456665,0.07,0.67,1.75,1.87
1.8643479347229004,0.16,0.3,2.11,2.13
1.8652467727661133,0.22,-0.04,2.64,2.64
1.8743078708648682,0.14,-0.06,3.34,3.34
1.884300708770752,0.02,0.35,3.8,3.81
1.8944997787475586,-0.11,1.09,3.6,3.76
1.912949800491333,-0.42,1.81,2.69,3.26
1.914388656616211,-0.67,2.13,1.75,2.83
1.9246296882629395,-0.67,2.03,1.27,2.48
1.9346399307250977,-0.34,1.39,1.35,1.96
1.9447946548461914,0.1,0.23,2.17,2.18
1.9632267951965332,0.61,-1.01,3.28,3.48
1.964716911315918,0.85,-1.85,4.09,4.56
1.9749407768249512,0.7,-2.16,4.52,5.05
1.9849519729614258,0.26,-2.12,4.1,4.62
1.9951448440551758,-0.27,-1.89,2.96,3.52
2.0136828422546387,-0.61,-1.56,1.77,2.43
2.0150158405303955,-0.88,-1.38,0.77,1.8
2.0253348350524902,-1.02,-1.22,0.34,1.62
2.0352768898010254,-1.03,-1.12,0.22,1.53
2.045468807220459,-1.07,-0.99,0.17,1.46
2.0632786750793457,-1.05,-0.95,0.0,1.41
2.0655226707458496,-0.96,-0.95,-0.25,1.37
2.075713872909546,-0.9,-1.03,-0.48,1.44
2.0856688022613525,-0.82,-1.16,-0.76,1.61
2.0957658290863037,-0.59,-1.23,-0.92,1.64
2.112881660461426,-0.36,-1.27,-1.04,1.68
2.115731716156006,-0.14,-1.3,-1.14,1.73
2.125978946685791,0.06,-1.28,-1.34,1.85
2.1357548236846924,0.25,-1.24,-1.7,2.11
2.1460788249969482,0.41,-1.18,-2.12,2.46
2.163468837738037,0.46,-1.06,-2.41,2.67
2.1661717891693115,0.47,-0.93,-2.65,2.84
2.1762237548828125,0.46,-0.81,-2.87,3.01
2.1862339973449707,0.38,-0.71,-3.01,3.11
2.196502685546875,0.25,-0.61,-3.09,3.15
2.2144579887390137,0.13,-0.53,-3.12,3.16
2.2164559364318848,0.07,-0.41,-3.11,3.13
2.226625919342041,0.05,-0.31,-2.97,2.98
2.236618995666504,0.08,-0.18,-2.74,2.74
2.246699810028076,0.1,-0.09,-2.53,2.53
2.2634377479553223,0.11,-0.04,-2.27,2.27
2.2674148082733154,0.06,-0.06,-1.95,1.95
2.2769968509674072,0.05,-0.08,-1.54,1.54
2.287073850631714,-0.07,-0.05,-1.14,1.14
2.29707670211792,-0.19,-0.04,-0.7,0.72
2.314140796661377,-0.26,0.01,-0.27,0.37
2.3173298835754395,-0.3,0.09,0.12,0.33
2.327225685119629,-0.31,0.2,0.48,0.6
2.337296962738037,-0.3,0.36,0.71,0.85
2.3473498821258545,-0.33,0.59,0.72,0.98
2.3640148639678955,-0.33,0.88,0.53,1.07
2.36739182472229,-0.3,1.12,0.31,1.2
2.3775198459625244,-0.23,1.31,0.22,1.34
2.387481689453125,-0.11,1.42,0.27,1.44
2.3976616859436035,-0.04,1.32,0.46,1.39
2.4143807888031006,0.02,1.09,0.85,1.38
2.417691707611084,0.02,0.79,1.38,1.59
2.427823781967163,0.02,0.49,2.06,2.11
2.438032865524292,-0.1,0.44,2.8,2.83
2.448180675506592,-0.37,0.92,3.3,3.44
2.46382999420166,-0.3,1.48,3.28,3.61
2.4681458473205566,0.1,1.73,2.78,3.27
2.478287696838379,0.43,1.56,2.2,2.73
2.488381862640381,0.49,1.4,2.05,2.53
2.498358726501465,0.5,1.06,2.41,2.67
2.5123958587646484,0.4,0.5,3.17,3.23
2.5182688236236572,0.3,-0.24,3.52,3.54
2.528479814529419,0.23,-0.84,4.01,4.1
2.5385348796844482,0.28,-1.74,4.25,4.6
2.548640727996826,0.43,-2.27,4.35,4.92
2.5619359016418457,0.75,-2.44,3.97,4.71
2.5688068866729736,1.02,-2.46,2.92,3.95
2.578709840774536,0.94,-2.16,1.56,2.82
2.588967800140381,1.0,-1.71,0.46,2.03
2.598949909210205,0.97,-1.24,-0.58,1.67
2.6113028526306152,0.89,-0.92,-1.41,1.9
2.6191020011901855,0.82,-0.67,-1.88,2.15
2.6291768550872803,0.76,-0.58,-1.98,2.19
2.639190673828125,0.64,-0.67,-1.89,2.1
2.6493067741394043,0.45,-0.92,-1.7,1.98
2.662113666534424,0.17,-1.16,-1.35,1.78
2.6693849563598633,0.13,-1.51,-1.01,1.82
2.679379940032959,0.13,-1.77,-0.9,1.98
2.689548969268799,0.1,-1.88,-0.86,2.06
2.699694871902466,0.08,-1.76,-0.8,1.93
